Send message {Progress, MessagePack, 4 bytes}
Send message {IgnoredNodes, MessagePack, 141 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 63 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 63 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 73 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 67 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 73 bytes}
Send message {ScanDone, ByteArray, 0 bytes}
Elapsed time of the 'Scan' stage: 00:00:10.7137024
Send message {Progress, MessagePack, 4 bytes}
Send message {FinalizeDone, ByteArray, 0 bytes}
Elapsed time of the 'Finalize' stage: 00:00:00.0139912
